"GENE_ID"	"TISSUE_ID"	"REF_COUNT"	"ALT_COUNT"	"TOTAL_COUNT"	"NULL_RATIO"
"ENSG00000168575"	"MSCLSK"	52	61	113	0.51
"ENSG00000187678"	"MSCLSK"	8	16	24	0.51
"ENSG00000164323"	"MSCLSK"	3	6	9	0.51
"ENSG00000137216"	"MSCLSK"	3	8	11	0.51
"ENSG00000187715"	"MSCLSK"	42	29	71	0.51
"ENSG00000226742"	"MSCLSK"	14	4	18	0.51
"ENSG00000120910"	"MSCLSK"	60	44	104	0.51
"ENSG00000167740"	"MSCLSK"	9	14	23	0.51
"ENSG00000243789"	"MSCLSK"	34	24	58	0.51
"ENSG00000113594"	"MSCLSK"	9	3	12	0.51
"ENSG00000130226"	"MSCLSK"	6	8	14	0.51
"ENSG00000087245"	"MSCLSK"	102	94	196	0.51
"ENSG00000141580"	"MSCLSK"	11	2	13	0.51
"ENSG00000115355"	"MSCLSK"	52	43	95	0.51
"ENSG00000165632"	"MSCLSK"	50	44	94	0.51
"ENSG00000188636"	"MSCLSK"	7	3	10	0.51
"ENSG00000135632"	"MSCLSK"	24	21	45	0.51
"ENSG00000185414"	"MSCLSK"	65	59	124	0.51
"ENSG00000162623"	"MSCLSK"	17	19	36	0.51
"ENSG00000140403"	"MSCLSK"	7	4	11	0.51
"ENSG00000213339"	"MSCLSK"	9	6	15	0.51
"ENSG00000112365"	"MSCLSK"	9	6	15	0.51
"ENSG00000163956"	"MSCLSK"	3	15	18	0.51
"ENSG00000162614"	"MSCLSK"	10	13	23	0.51
"ENSG00000161265"	"MSCLSK"	15	20	35	0.51
"ENSG00000107960"	"MSCLSK"	16	11	27	0.51
"ENSG00000124279"	"MSCLSK"	28	17	45	0.51
"ENSG00000142046"	"MSCLSK"	56	48	104	0.51
"ENSG00000156968"	"MSCLSK"	30	13	43	0.51
"ENSG00000134247"	"MSCLSK"	21	24	45	0.51
"ENSG00000005243"	"MSCLSK"	5	7	12	0.51
"ENSG00000115705"	"MSCLSK"	24	27	51	0.51
"ENSG00000259820"	"MSCLSK"	5	6	11	0.51
"ENSG00000169905"	"MSCLSK"	29	24	53	0.51
"ENSG00000147872"	"MSCLSK"	0	68	68	0.51
"ENSG00000103365"	"MSCLSK"	5	6	11	0.51
"ENSG00000114867"	"MSCLSK"	5	4	9	0.51
"ENSG00000165275"	"MSCLSK"	11	31	42	0.51
"ENSG00000171714"	"MSCLSK"	74	81	155	0.51
"ENSG00000132475"	"MSCLSK"	38	33	71	0.51
"ENSG00000132768"	"MSCLSK"	541	472	1013	0.51
"ENSG00000147852"	"MSCLSK"	7	4	11	0.51
"ENSG00000165915"	"MSCLSK"	399	363	762	0.51
"ENSG00000102802"	"MSCLSK"	1406	1778	3184	0.51
"ENSG00000145365"	"MSCLSK"	14	2	16	0.51
"ENSG00000107566"	"MSCLSK"	26	25	51	0.51
"ENSG00000170500"	"MSCLSK"	17	9	26	0.51
"ENSG00000187514"	"MSCLSK"	16	11	27	0.51
"ENSG00000198276"	"MSCLSK"	36	23	59	0.51
"ENSG00000118518"	"MSCLSK"	80	105	185	0.51
"ENSG00000112186"	"MSCLSK"	28	22	50	0.51
"ENSG00000134686"	"MSCLSK"	18	10	28	0.51
"ENSG00000159216"	"MSCLSK"	4	5	9	0.51
"ENSG00000088538"	"MSCLSK"	6	3	9	0.51
"ENSG00000248746"	"MSCLSK"	64	77	141	0.51
"ENSG00000109062"	"MSCLSK"	10	4	14	0.51
"ENSG00000080371"	"MSCLSK"	3	5	8	0.51
"ENSG00000177683"	"MSCLSK"	6	4	10	0.51
"ENSG00000072364"	"MSCLSK"	36	39	75	0.51
"ENSG00000114353"	"MSCLSK"	12	12	24	0.51
"ENSG00000124593"	"MSCLSK"	44	81	125	0.51
"ENSG00000107669"	"MSCLSK"	198	221	419	0.51
"ENSG00000007237"	"MSCLSK"	8	3	11	0.51
"ENSG00000008710"	"MSCLSK"	47	31	78	0.51
"ENSG00000065882"	"MSCLSK"	9	2	11	0.51
"ENSG00000174705"	"MSCLSK"	11	12	23	0.51
"ENSG00000141526"	"MSCLSK"	108	117	225	0.51
"ENSG00000151240"	"MSCLSK"	12	18	30	0.51
"ENSG00000125901"	"MSCLSK"	3	6	9	0.51
"ENSG00000113761"	"MSCLSK"	25	12	37	0.51
"ENSG00000121413"	"MSCLSK"	12	8	20	0.51
"ENSG00000272836"	"MSCLSK"	6	5	11	0.51
"ENSG00000189042"	"MSCLSK"	142	167	309	0.51
"ENSG00000188735"	"MSCLSK"	9	5	14	0.51
"ENSG00000006652"	"MSCLSK"	10	12	22	0.51
"ENSG00000155111"	"MSCLSK"	17	7	24	0.51
"ENSG00000133059"	"MSCLSK"	3	10	13	0.51
"ENSG00000151503"	"MSCLSK"	12	11	23	0.51
"ENSG00000154310"	"MSCLSK"	66	55	121	0.51
"ENSG00000157483"	"MSCLSK"	1073	819	1892	0.51
"ENSG00000012983"	"MSCLSK"	42	37	79	0.51
"ENSG00000160145"	"MSCLSK"	38	62	100	0.51
"ENSG00000068784"	"MSCLSK"	15	17	32	0.51
"ENSG00000137965"	"MSCLSK"	56	40	96	0.51
"ENSG00000163482"	"MSCLSK"	22	14	36	0.51
"ENSG00000078140"	"MSCLSK"	17	7	24	0.51
"ENSG00000082212"	"MSCLSK"	33	28	61	0.51
"ENSG00000113658"	"MSCLSK"	5	8	13	0.51
"ENSG00000132326"	"MSCLSK"	27	37	64	0.51
"ENSG00000046889"	"MSCLSK"	48	73	121	0.51
"ENSG00000120805"	"MSCLSK"	115	101	216	0.51
"ENSG00000071127"	"MSCLSK"	30	24	54	0.51
"ENSG00000156671"	"MSCLSK"	173	163	336	0.51
"ENSG00000130023"	"MSCLSK"	5	6	11	0.51
"ENSG00000143643"	"MSCLSK"	34	18	52	0.51
"ENSG00000096063"	"MSCLSK"	8	37	45	0.51
"ENSG00000178685"	"MSCLSK"	370	268	638	0.51
"ENSG00000172995"	"MSCLSK"	29	35	64	0.51
"ENSG00000103199"	"MSCLSK"	14	13	27	0.51
"ENSG00000149600"	"MSCLSK"	94	67	161	0.51
"ENSG00000176058"	"MSCLSK"	1	8	9	0.51
"ENSG00000114107"	"MSCLSK"	272	289	561	0.51
"ENSG00000081052"	"MSCLSK"	86	93	179	0.51
"ENSG00000036672"	"MSCLSK"	71	105	176	0.51
"ENSG00000090621"	"MSCLSK"	10	10	20	0.51
"ENSG00000143537"	"MSCLSK"	17	10	27	0.51
"ENSG00000113742"	"MSCLSK"	12	11	23	0.51
"ENSG00000165609"	"MSCLSK"	491	497	988	0.51
"ENSG00000107882"	"MSCLSK"	4	10	14	0.51
"ENSG00000182134"	"MSCLSK"	11	0	11	0.51
"ENSG00000138119"	"MSCLSK"	28	28	56	0.51
"ENSG00000119280"	"MSCLSK"	22	19	41	0.51
"ENSG00000108344"	"MSCLSK"	49	48	97	0.51
"ENSG00000232043"	"MSCLSK"	12	11	23	0.51
"ENSG00000198843"	"MSCLSK"	13	7	20	0.51
"ENSG00000182013"	"MSCLSK"	84	70	154	0.51
"ENSG00000120093"	"MSCLSK"	7	4	11	0.51
"ENSG00000106605"	"MSCLSK"	6	7	13	0.51
"ENSG00000165507"	"MSCLSK"	14	11	25	0.51
"ENSG00000081277"	"MSCLSK"	9	7	16	0.51
"ENSG00000165434"	"MSCLSK"	107	125	232	0.51
"ENSG00000120616"	"MSCLSK"	16	18	34	0.51
"ENSG00000126214"	"MSCLSK"	61	43	104	0.51
"ENSG00000257923"	"MSCLSK"	12	9	21	0.51
"ENSG00000075785"	"MSCLSK"	13	6	19	0.51
"ENSG00000090924"	"MSCLSK"	19	15	34	0.51
"ENSG00000143162"	"MSCLSK"	33	30	63	0.51
"ENSG00000215271"	"MSCLSK"	55	56	111	0.51
"ENSG00000135966"	"MSCLSK"	10	9	19	0.51
"ENSG00000115183"	"MSCLSK"	13	8	21	0.51
"ENSG00000186318"	"MSCLSK"	36	26	62	0.51
"ENSG00000123908"	"MSCLSK"	110	104	214	0.51
"ENSG00000003402"	"MSCLSK"	13	5	18	0.51
"ENSG00000175445"	"MSCLSK"	6	4	10	0.51
"ENSG00000240038"	"MSCLSK"	223	189	412	0.51
"ENSG00000133858"	"MSCLSK"	28	31	59	0.51
"ENSG00000254413"	"MSCLSK"	33	34	67	0.51
"ENSG00000170807"	"MSCLSK"	14	13	27	0.51
"ENSG00000175567"	"MSCLSK"	18	24	42	0.51
"ENSG00000123643"	"MSCLSK"	13	5	18	0.51
"ENSG00000140598"	"MSCLSK"	49	34	83	0.51
"ENSG00000162408"	"MSCLSK"	4	4	8	0.51
"ENSG00000139428"	"MSCLSK"	16	24	40	0.51
"ENSG00000145348"	"MSCLSK"	43	31	74	0.51
"ENSG00000163931"	"MSCLSK"	6	5	11	0.51
"ENSG00000198752"	"MSCLSK"	7	10	17	0.51
"ENSG00000071242"	"MSCLSK"	29	27	56	0.51
"ENSG00000100968"	"MSCLSK"	25	19	44	0.51
"ENSG00000119760"	"MSCLSK"	9	7	16	0.51
"ENSG00000173638"	"MSCLSK"	55	70	125	0.51
"ENSG00000136868"	"MSCLSK"	519	356	875	0.51
"ENSG00000112941"	"MSCLSK"	87	88	175	0.51
"ENSG00000101346"	"MSCLSK"	9	7	16	0.51
"ENSG00000075336"	"MSCLSK"	146	147	293	0.51
"ENSG00000132313"	"MSCLSK"	16	14	30	0.51
"ENSG00000168397"	"MSCLSK"	4	6	10	0.51
"ENSG00000184470"	"MSCLSK"	63	55	118	0.51
"ENSG00000142961"	"MSCLSK"	11	15	26	0.51
"ENSG00000163510"	"MSCLSK"	362	369	731	0.51
"ENSG00000205476"	"MSCLSK"	1	7	8	0.51
"ENSG00000158467"	"MSCLSK"	28	49	77	0.51
"ENSG00000105792"	"MSCLSK"	6	5	11	0.51
"ENSG00000146021"	"MSCLSK"	17	19	36	0.51
"ENSG00000270316"	"MSCLSK"	1157	1187	2344	0.51
"ENSG00000146007"	"MSCLSK"	14	22	36	0.51
"ENSG00000145794"	"MSCLSK"	12	34	46	0.51
"ENSG00000139168"	"MSCLSK"	154	172	326	0.51
"ENSG00000133063"	"MSCLSK"	7	5	12	0.51
"ENSG00000132522"	"MSCLSK"	32	45	77	0.51
"ENSG00000138755"	"MSCLSK"	22	24	46	0.51
"ENSG00000251369"	"MSCLSK"	14	19	33	0.51
"ENSG00000112851"	"MSCLSK"	10	18	28	0.51
"ENSG00000149658"	"MSCLSK"	56	56	112	0.51
"ENSG00000163918"	"MSCLSK"	5	4	9	0.51
"ENSG00000162086"	"MSCLSK"	8	1	9	0.51
"ENSG00000116922"	"MSCLSK"	25	26	51	0.51
"ENSG00000129315"	"MSCLSK"	44	36	80	0.51
"ENSG00000156050"	"MSCLSK"	9	0	9	0.51
"ENSG00000164713"	"MSCLSK"	15	11	26	0.51
"ENSG00000108219"	"MSCLSK"	13	11	24	0.51
"ENSG00000104980"	"MSCLSK"	12	22	34	0.51
"ENSG00000080189"	"MSCLSK"	14	11	25	0.51
"ENSG00000215067"	"MSCLSK"	27	20	47	0.51
"ENSG00000084636"	"MSCLSK"	4	7	11	0.51
"ENSG00000135801"	"MSCLSK"	15	7	22	0.51
"ENSG00000102710"	"MSCLSK"	18	37	55	0.51
"ENSG00000164983"	"MSCLSK"	9	12	21	0.51
"ENSG00000104518"	"MSCLSK"	16	12	28	0.51
"ENSG00000066629"	"MSCLSK"	32	28	60	0.51
"ENSG00000188811"	"MSCLSK"	24	20	44	0.51
"ENSG00000087365"	"MSCLSK"	5	6	11	0.51
"ENSG00000143801"	"MSCLSK"	6	12	18	0.51
"ENSG00000176248"	"MSCLSK"	73	91	164	0.51
"ENSG00000141646"	"MSCLSK"	82	98	180	0.51
"ENSG00000184381"	"MSCLSK"	9	13	22	0.51
"ENSG00000138758"	"MSCLSK"	14	6	20	0.51
"ENSG00000100865"	"MSCLSK"	3	6	9	0.51
"ENSG00000095321"	"MSCLSK"	9	1	10	0.51
"ENSG00000160678"	"MSCLSK"	48	37	85	0.51
"ENSG00000037474"	"MSCLSK"	26	29	55	0.51
"ENSG00000185760"	"MSCLSK"	33	49	82	0.51
"ENSG00000213341"	"MSCLSK"	47	69	116	0.51
"ENSG00000167380"	"MSCLSK"	10	7	17	0.51
"ENSG00000175893"	"MSCLSK"	2	7	9	0.51
