eh1	eh2
622	691
434	395
284	351
687	755
889	1014
738	879
1072	1249
283	276
589	646
676	667
533	524
663	973
246	254
346	221
681	672
335	372
456	485
281	305
506	449
317	314
639	651
703	735
489	536
903	745
744	811
366	408
356	344
666	882
819	664
417	247
670	717
529	628
791	782
667	614
477	577
420	418
323	377
273	241
556	554
864	818
937	873
296	333
855	823
324	408
540	309
491	358
388	402
628	603
469	399
174	185
560	522
117	95
294	291
420	412
219	207
613	519
355	337
696	413
792	569
169	170
258	260
734	768
445	735
864	780
942	920
438	438
338	508
546	481
559	515
515	608
870	701
257	356
241	281
1220	1219
510	496
246	288
314	319
1079	830
398	438
484	566
329	717
513	734
658	558
120	151
1100	1107
307	327
619	584
563	693
1138	781
190	178
819	634
407	406
753	705
1089	1163
894	906
316	345
453	399
127	184
386	356
395	340
552	586
511	478
629	971
1439	1256
802	948
696	1195
1098	1057
571	625
310	292
680	646
219	238
265	256
725	831
482	570
462	599
856	752
959	811
1054	1401
162	133
737	734
386	386
1075	1044
488	514
290	287
304	310
501	445
1074	852
1355	1519
519	500
196	211
847	516
806	794
410	558
204	149
217	543
433	474
261	189
631	537
405	502
461	495
173	142
288	281
436	391
353	337
530	566
734	518
578	604
350	332
195	142
717	852
473	268
399	347
428	1410
309	295
726	715
704	647
850	891
383	414
239	259
1044	905
757	782
314	430
331	254
219	253
592	732
629	755
142	133
653	789
724	742
298	298
173	241
305	402
263	239
337	267
655	561
828	696
829	839
702	872
890	975
464	449
430	492
1369	1372
850	772
372	446
1025	1046
394	493
449	571
229	166
544	683
831	776
324	291
207	258
222	270
500	483
606	442
1094	1127
525	524
315	389
800	737
188	262
1025	1279
766	812
452	430
743	735
400	421
1289	1149
656	553
938	826
820	1031
233	163
951	759
1166	869
840	1034
300	303
748	753
423	1032
664	575
400	419
963	1274
526	591
197	217
770	616
573	421
508	499
334	247
691	609
738	799
178	291
582	451
606	519
1547	1539
744	904
2090	2059
252	245
145	99
1444	1391
123	128
1297	875
271	381
1013	632
440	443
993	701
819	830
971	990
374	279
1468	1561
281	247
454	491
809	722
786	727
629	711
483	357
841	946
133	131
570	497
466	492
516	426
849	825
312	296
418	573
1619	1335
394	384
1079	1318
358	387
511	488
831	805
388	372
339	332
580	588
715	923
311	275
502	460
416	845
404	358
418	427
510	627
224	221
264	355
754	1191
629	563
459	418
489	529
351	297
3807	2004
276	253
157	136
519	400
455	538
317	374
343	303
105	107
453	470
637	742
932	780
372	300
180	181
241	301
138	197
212	260
540	502
330	334
231	221
847	926
922	971
645	622
347	340
496	442
1079	977
260	282
219	222
341	320
562	485
315	389
696	721
770	702
1074	1123
539	474
505	513
346	566
790	798
1354	1294
664	816
807	1030
735	725
358	312
1187	1582
487	397
884	835
640	737
431	438
2016	2213
443	702
346	324
315	318
3134	1983
602	596
485	586
492	465
270	236
201	242
499	553
415	512
603	505
573	606
178	163
651	558
959	620
663	782
522	458
723	794
669	492
893	888
291	256
331	352
163	224
294	287
828	623
673	1053
451	363
279	309
643	446
359	381
537	695
553	553
190	174
246	338
217	310
1110	890
168	195
1153	936
297	280
581	657
514	484
1009	908
303	315
1061	1079
581	640
849	1017
80	382
1025	1011
1452	2761
210	215
672	876
999	1106
226	249
452	669
1324	1461
508	507
739	657
607	378
334	360
487	503
418	422
377	367
178	170
224	214
567	955
132	110
1057	942
304	281
340	393
442	449
468	504
2153	1606
922	998
1351	819
490	500
545	603
964	1240
384	429
290	315
367	403
448	463
703	513
539	469
575	657
616	587
580	415
200	234
246	234
530	413
616	461
364	781
604	659
556	407
269	256
697	1119
210	195
343	427
383	390
702	628
496	600
1126	956
310	386
466	543
975	848
447	412
905	936
541	515
457	504
1016	1088
762	639
274	285
197	196
709	785
2818	2355
550	603
556	489
121	132
1419	1568
849	823
884	837
537	395
376	484
445	284
93	83
489	548
273	361
1216	1276
317	295
607	573
424	426
402	551
3021	2956
515	612
189	307
655	797
205	179
252	238
681	843
621	617
710	713
943	1001
368	650
533	641
508	514
441	483
620	541
517	467
505	526
525	551
844	752
771	756
226	189
388	475
611	788
373	446
632	656
346	337
317	322
524	593
592	430
328	337
376	318
467	508
461	455
897	816
1049	969
366	359
309	294
581	587
375	335
299	283
1316	885
1149	1421
575	465
1085	1161
353	393
635	630
531	643
492	564
755	758
492	428
157	134
349	282
222	192
300	321
313	294
759	631
900	638
177	186
339	652
399	324
501	613
474	672
674	674
187	188
2385	1712
248	319
320	224
630	604
525	485
561	714
494	688
401	356
512	594
272	294
490	489
379	294
341	487
771	966
459	402
365	518
271	328
893	866
737	734
733	726
743	826
510	695
819	854
