"","eh1","eh2","p.val","adj.pval"
"1",622,691,0.74602571761667,1
"2",434,395,0.516851038738897,0.99590037707584
"3",284,351,0.295308622780783,0.99590037707584
"4",687,755,0.29531281356774,0.99590037707584
"5",889,1014,0.4868188493423,0.99590037707584
"6",738,879,0.299273770780274,0.99590037707584
"7",1072,1249,0.520516905389685,0.99590037707584
"8",283,276,0.808376160565064,1
"9",589,646,0.534826820298508,0.99590037707584
"10",676,667,0.958173821548128,1
"11",533,524,0.819194058355128,1
"12",663,973,0.249620646907828,0.99590037707584
"13",246,254,0.754233844576928,1
"14",346,221,0.171878471002265,0.99590037707584
"15",681,672,0.847419738600317,1
"16",335,372,0.68606281971353,1
"17",456,485,0.849896190329754,1
"18",281,305,0.531256298468918,0.99590037707584
"19",506,449,0.736158712798977,1
"20",317,314,0.954475064773092,1
"21",639,651,0.796623036102952,1
"22",703,735,0.755060199009087,1
"23",489,536,0.764033909329721,1
"24",903,745,0.279723411613372,0.99590037707584
"25",744,811,0.427011794922333,0.99590037707584
"26",366,408,0.146247491994717,0.99590037707584
"27",356,344,0.836576793729128,1
"28",666,882,0.156774398775695,0.99590037707584
"29",819,664,0.16127675778829,0.99590037707584
"30",417,247,0.12002381663055,0.99590037707584
"31",670,717,0.741833256073134,1
"32",529,628,0.550871872757206,0.99590037707584
"33",791,782,0.927465620411555,1
"34",667,614,0.343241102832794,0.99590037707584
"35",477,577,0.00273472736019669,0.434786644390243
"36",420,418,0.993315691806192,1
"37",323,377,0.24059731251582,0.99590037707584
"38",273,241,0.687590844085457,1
"39",556,554,0.995609653621682,1
"40",864,818,0.673948681013258,1
"41",937,873,0.210262062344342,0.99590037707584
"42",296,333,0.222362235135847,0.99590037707584
"43",855,823,0.881928253272309,1
"44",324,408,0.293806871891887,0.99590037707584
"45",540,309,0.0549021213291375,0.99590037707584
"46",491,358,0.195564976409596,0.99590037707584
"47",388,402,0.696402027955288,1
"48",628,603,0.596138939434145,0.99590037707584
"49",469,399,0.202022468744511,0.99590037707584
"50",174,185,0.601685108431101,0.99590037707584
