"eh1" "eh2" "p.val" "adj.pval"
622 691 0.774367010710654 1
434 395 0.616323102017775 1
284 351 0.502378000695995 1
687 755 0.760269151127853 1
889 1014 0.315960508625255 1
738 879 0.455954935887038 1
1072 1249 0.0217735935913463 0.323201068974699
283 276 0.865671088594681 1
589 646 0.805099761178398 1
676 667 0.971713273182993 1
533 524 0.824104079198383 1
663 973 0.327977647975321 1
246 254 0.930651615687123 1
346 221 0.357943854585894 1
681 672 0.960841760196601 1
335 372 0.599922989100407 1
456 485 0.703793692795149 1
281 305 0.857996134182778 1
506 449 0.777842293559165 1
317 314 0.954143585663087 1
639 651 0.953745186712476 1
703 735 0.896083754819332 1
489 536 0.828645477876388 1
903 745 0.549845607907544 1
744 811 0.816014600631008 1
366 408 0.590956695318968 1
356 344 0.942613484330254 1
666 882 0.138311528278829 0.956734198526683
819 664 0.309949167556624 1
417 247 0.0856912070747094 0.77210071587709
670 717 0.861421054047694 1
529 628 0.727399591874298 1
791 782 0.979506828956243 1
667 614 0.824389018776957 1
477 577 0.669529920946756 1
420 418 0.987097859220482 1
323 377 0.673486255110318 1
273 241 0.686767347154065 1
556 554 0.991694551262853 1
864 818 0.897026791244857 1
937 873 0.769450523529515 1
296 333 0.803170918763962 1
855 823 0.921447968962717 1
324 408 0.280763445695566 1
540 309 0.0245485966491883 0.336282145879291
491 358 0.0372204883644756 0.459512202030563
388 402 0.933260439734087 1
628 603 0.741329968466038 1
469 399 0.731090274492905 1
174 185 0.877695529135456 1
560 522 0.758343939884358 1
117 95 0.200584053784639 1
294 291 0.919647058628245 1
420 412 0.915745202638993 1
219 207 0.882044289694435 1
613 519 0.087649338237833 0.782583377123509
355 337 0.899459829645069 1
696 413 0.282626654275223 1
792 569 0.04551694172956 0.543549737336615
169 170 0.990458374861065 1
258 260 0.9873790309263 1
734 768 0.91243307805132 1
445 735 0.16003527363503 1
864 780 0.168253949538327 1
942 920 0.937983708734687 1
438 438 1 1
338 508 0.303582023130306 1
546 481 0.753075661493243 1
559 515 0.857170385413942 1
515 608 0.688207952708669 1
870 701 0.209548695449448 1
257 356 0.0513125555384003 0.587546055914309
241 281 0.719648512341089 1
1220 1219 0.999936657516334 1
510 496 0.951138431919054 1
246 288 0.315290246615384 1
314 319 0.846855640207225 1
1079 830 0.543204535796328 1
398 438 0.323006537332162 1
484 566 0.230769767439332 1
329 717 0.0702792331332363 0.69367825798933
513 734 0.0624928446832507 0.671966071862911
658 558 0.385742721595449 1
120 151 0.319994152138595 1
1100 1107 0.984854220226246 1
307 327 0.871562996096439 1
619 584 0.705961735923601 1
563 693 0.431403666158553 1
1138 781 0.175519989572038 1
190 178 0.53824342526001 1
819 634 0.194789699097839 1
407 406 0.993485194350171 1
753 705 0.831286501049909 1
1089 1163 0.841088923536311 1
894 906 0.972397071468314 1
316 345 0.856138019058533 1
453 399 0.102235262388628 0.845937447246982
127 184 0.00156480179134205 0.0355636770759557
386 356 0.272257351493904 1
395 340 0.080072500346645 0.750735958899658
552 586 0.476747507638545 1
511 478 0.471675574839448 1
629 971 0.000986297729835554 0.0252896853803988
1439 1256 0.690367504103904 1
802 948 0.699909894226936 1
696 1195 2.7910415481719e-05 0.00132906740389138
1098 1057 0.708457332206917 1
571 625 0.262999331409005 1
310 292 0.630651527268088 1
680 646 0.798465804105009 1
219 238 0.534979798191464 1
265 256 0.94298879585707 1
725 831 0.249862859977155 1
482 570 0.53743771140337 1
462 599 0.363435747728747 1
856 752 0.781291567518503 1
959 811 0.705808208309841 1
1054 1401 0.000212453498626102 0.00708178328753674
162 133 0.113043910965762 0.890852644252013
737 734 0.991401740543578 1
386 386 1 1
1075 1044 0.896165732658227 1
488 514 0.414179534089097 1
290 287 0.968635871277286 1
304 310 0.903879684978515 1
501 445 0.56045407451352 1
1074 852 0.440616966343773 1
1355 1519 0.800254285824099 1
519 500 0.909191273681154 1
196 211 0.458930590752179 1
847 516 0.0846130781469516 0.77210071587709
806 794 0.88429402981411 1
410 558 0.348964022508151 1
204 149 0.434819969768132 1
217 543 0.00618860147717567 0.116766065607088
433 474 0.664183483345355 1
261 189 0.252674572985656 1
631 537 0.266259693794816 1
405 502 0.0803287476022634 0.750735958899658
461 495 0.821031117079349 1
173 142 0.337345331213843 1
288 281 0.946851903669126 1
436 391 0.124483627841455 0.922100946973743
353 337 0.544362249889569 1
530 566 0.893957610210103 1
