"eh1"	"eh2"
493	793
491	485
233	217
194	231
889	882
203	226
780	790
231	228
289	334
310	343
852	732
178	284
208	237
408	482
1211	808
704	718
1656	1496
471	490
1141	1136
670	733
549	505
453	528
763	944
193	155
543	586
469	412
166	173
297	287
365	349
413	356
1656	1283
137	102
3102	2255
780	747
1423	1315
708	577
1675	1545
638	771
316	301
342	534
401	439
659	792
573	563
432	372
444	504
501	448
218	375
709	602
663	489
762	970
317	334
467	486
315	423
936	766
447	450
625	698
275	235
825	554
695	750
461	554
266	364
194	169
522	578
686	826
339	381
629	528
391	451
1347	1554
492	345
109	151
328	315
540	517
420	465
396	487
580	869
1338	1331
631	1245
433	440
345	559
1441	1847
554	585
953	1068
599	367
704	776
537	513
322	204
387	292
460	442
303	273
562	905
704	718
1752	1786
434	388
266	327
1274	1288
1248	1325
758	775
445	403
270	276
703	686
709	639
303	272
310	249
477	484
419	514
275	258
509	517
384	319
286	271
478	484
149	144
1413	1416
911	812
649	767
383	436
619	498
522	606
238	394
529	453
325	365
449	490
470	509
1119	1072
355	290
522	483
114	104
803	472
730	692
228	298
538	654
1074	1071
506	476
472	497
123	175
711	622
862	694
1047	1107
588	611
1143	1022
554	601
591	609
1298	1227
1061	914
564	538
683	866
233	269
321	358
639	928
545	508
388	350
861	1129
1500	1631
420	433
501	537
516	570
1232	1316
595	494
276	401
1230	1275
896	988
634	856
619	476
523	565
119	105
1181	930
307	382
311	545
142	239
266	286
403	583
141	148
271	280
489	387
480	520
935	921
640	535
400	490
528	615
863	549
448	468
786	609
1230	1291
366	344
638	531
1053	1055
592	616
620	523
959	936
362	442
455	627
787	823
432	400
474	430
724	679
705	549
382	278
819	450
1194	1308
755	690
740	1023
749	739
922	1062
604	625
293	302
537	540
1171	1394
351	533
179	140
352	213
408	328
588	450
276	721
674	721
383	330
470	440
585	371
947	802
325	472
422	421
681	693
678	668
967	1173
255	330
232	279
708	775
233	238
583	624
208	219
521	516
429	599
435	404
839	823
294	278
917	971
875	1045
461	514
400	399
817	868
90	96
526	806
1124	1178
742	637
1450	1641
577	687
349	344
307	353
252	227
369	320
671	693
503	441
576	579
796	1387
356	401
223	201
237	350
621	587
760	653
378	288
240	234
981	866
207	214
1047	1055
335	323
767	731
313	310
353	360
321	327
379	301
1209	1147
1264	1094
348	354
678	649
313	316
663	810
305	334
470	418
234	274
298	264
541	395
567	477
782	705
886	876
893	949
388	417
487	564
607	594
903	876
745	786
365	422
389	359
1044	791
808	681
746	845
863	779
886	868
288	179
1237	1095
315	466
222	202
1129	1249
500	452
296	386
718	826
383	407
370	319
280	245
800	982
416	354
1084	928
553	577
948	741
943	984
380	372
727	703
127	113
1686	1293
815	468
371	500
798	738
561	509
723	959
822	830
375	355
492	493
401	452
1039	878
788	893
841	537
698	670
694	936
351	399
1046	1056
533	547
357	386
1236	654
1003	1009
481	441
1922	1938
193	222
963	919
958	693
1725	1813
374	327
761	497
472	503
655	899
723	620
403	407
862	861
913	1041
432	399
688	584
342	310
423	223
537	686
1869	1732
1521	1512
959	1403
507	476
836	510
305	301
1091	832
497	320
1258	945
926	632
67	90
549	485
551	930
1275	1418
309	274
401	461
557	530
349	341
374	356
1572	1413
492	508
1280	1602
304	360
764	791
398	660
220	216
518	361
749	883
790	811
116	293
185	191
464	557
1611	1165
843	891
465	567
513	628
396	575
448	462
618	539
1024	907
613	677
341	375
221	300
799	799
244	267
501	656
517	559
294	260
363	478
580	653
624	575
1605	1432
927	911
154	265
380	396
421	406
1022	923
323	308
476	299
298	305
797	773
382	361
234	316
1414	1460
226	231
302	249
314	370
504	504
482	452
773	749
762	594
537	525
483	508
209	200
302	308
303	290
706	661
339	470
881	640
460	517
567	435
330	356
186	187
550	748
244	256
582	801
588	641
538	414
198	208
402	424
308	276
596	663
285	725
469	691
328	393
742	625
572	368
563	931
271	205
223	280
298	286
288	284
492	435
443	406
526	654
765	825
420	433
734	998
472	481
859	840
601	550
130	126
104	143
235	534
670	888
851	555
258	265
453	397
1214	1274
351	360
274	281
147	220
1255	1346
1130	1335
567	436
170	134
495	523
399	437
766	722
119	139
796	850
438	605
775	794
386	352
581	499
843	917
268	289
707	650
515	705
822	885
234	326
491	842
231	221
201	224
332	325
1019	902
440	462
264	250
1442	1408
651	661
428	944
847	827
292	291
287	309
429	479
217	158
634	573
409	429
718	890
547	444
522	528
548	460
545	537
260	193
576	642
452	431
922	828
302	330
376	814
849	879
705	1576
315	338
389	393
415	479
767	684
560	669
179	168
1528	1458
404	398
235	288
364	441
420	280
246	227
259	338
1108	976
1319	1464
558	522
290	445
228	305
489	388
389	515
444	439
351	414
364	340
486	758
940	954
339	378
571	572
1273	1334
1273	1052
673	634
708	506
639	671
464	392
259	285
854	869
362	417
753	741
410	363
759	843
459	316
393	401
446	468
210	288
316	306
637	550
264	301
601	593
466	570
830	782
672	483
774	666
393	367
296	370
505	613
924	795
711	714
349	461
270	271
1193	1005
380	380
142	140
1354	1129
540	419
145	99
1416	1274
903	1034
404	434
980	1064
490	488
1125	925
375	425
151	133
278	241
635	576
1511	1827
399	376
204	216
668	686
755	681
668	689
232	226
553	649
718	1349
684	614
421	436
714	589
673	686
1286	1112
1174	814
428	498
1020	1037
267	286
671	665
614	626
541	477
441	461
254	274
354	233
975	848
520	466
393	318
427	407
358	357
633	678
1076	802
304	209
418	433
359	371
1148	1173
1765	1780
368	349
741	585
532	386
748	752
1318	1295
421	428
231	219
370	367
522	602
296	230
330	342
239	232
844	701
720	831
408	404
1119	1241
404	388
476	745
524	577
362	666
295	315
292	289
1272	1809
358	366
901	598
845	943
612	466
459	531
389	430
367	368
300	298
607	539
1635	1433
288	180
444	740
319	350
447	562
1083	989
672	835
171	116
261	265
527	539
748	689
737	831
706	851
1162	983
366	560
675	502
850	877
352	386
320	335
174	157
3011	2598
1001	1258
487	406
917	924
299	298
665	446
388	391
522	563
579	545
571	562
207	240
920	767
526	574
268	296
638	549
1025	1215
262	270
838	815
261	309
431	401
423	404
158	142
484	742
505	561
260	362
744	612
1063	1096
477	426
613	553
701	707
953	821
514	518
301	287
535	420
743	594
917	830
434	369
827	807
577	704
374	331
263	294
403	307
145	183
463	477
433	430
397	427
301	269
828	919
1112	1311
722	765
386	313
482	507
255	185
322	351
1035	1139
1430	1402
697	513
226	234
337	387
406	280
605	515
541	731
725	653
276	252
321	280
1175	1341
389	413
549	397
796	846
512	544
418	394
279	249
686	654
907	1044
735	672
255	305
871	724
338	248
329	427
416	362
880	882
262	246
531	496
248	280
712	868
4515	4240
1561	1297
367	391
181	270
1448	1580
175	194
311	491
1075	1363
629	1126
886	1055
385	481
1022	1130
264	196
793	715
576	431
654	563
398	287
2408	2098
1193	1196
402	375
708	599
724	776
299	355
164	186
345	382
625	526
251	208
508	462
847	731
172	203
182	228
231	267
674	484
694	631
676	820
312	299
879	871
722	751
619	680
394	458
362	538
1292	2185
674	698
480	420
899	425
737	652
1320	1534
252	219
1110	1335
209	265
535	373
666	647
403	322
246	270
134	122
451	402
737	689
1026	971
512	661
273	265
987	859
334	396
349	345
965	598
536	417
808	722
839	696
508	481
485	558
238	213
485	567
202	204
1454	1481
1028	1433
149	144
929	906
1065	1242
331	293
413	454
308	290
622	754
614	724
2281	2320
177	822
305	213
360	306
168	228
385	350
453	498
396	361
306	322
998	882
462	493
345	344
984	1077
306	375
291	237
417	358
378	345
377	493
704	527
896	898
721	761
1123	1246
982	894
753	636
329	311
442	509
984	1330
577	636
453	439
652	617
232	343
578	434
663	631
481	498
418	391
512	990
1023	831
1490	1322
903	755
187	147
884	1100
492	487
310	337
460	426
565	1326
210	216
393	612
179	181
529	423
487	515
932	933
279	311
312	407
600	431
781	662
811	847
269	308
988	939
663	796
560	535
278	242
277	338
444	453
189	177
236	154
443	431
406	374
2094	2043
715	917
147	153
967	782
426	411
1226	1223
498	538
369	325
524	687
810	672
348	356
468	442
616	835
864	752
529	549
1193	1190
201	216
380	434
342	476
418	391
171	174
777	841
264	236
307	250
1343	1296
556	525
347	301
653	509
408	290
488	380
326	289
217	190
917	618
260	259
211	214
1101	1194
834	460
737	693
1041	863
919	881
229	184
194	239
1676	1258
285	268
154	131
306	323
203	138
317	344
898	1034
278	337
477	428
463	545
141	153
1211	869
1217	1242
487	427
373	303
284	251
417	428
424	581
367	313
389	383
425	431
192	189
415	364
312	265
319	485
789	780
300	403
2006	1968
430	513
724	565
985	747
1117	1083
1011	750
364	379
340	350
348	354
